run_id,episode,total_reward,avg_temp_zone0,avg_temp_zone1,avg_temp_zone2,avg_energy,epsilon
exp-qlearning-2,1,-386.83776155540727,15.938129504071687,19.74303569542214,19.009027997002377,3.4791666666666665,0.4975
exp-qlearning-2,2,-530.4385930188523,18.88643046504042,13.470477304527897,18.892981645116315,3.6041666666666665,0.4950125
exp-qlearning-2,3,-337.5035672823888,17.913786902593532,16.190103848952706,20.359804179803422,3.2916666666666665,0.4925374375
exp-qlearning-2,4,-526.9822845053171,16.88775276940599,16.923109991446157,19.03194200282491,3.8541666666666665,0.49007475031250003
exp-qlearning-2,5,-352.1261430849587,16.86619253234456,17.026833473217888,20.198212128335296,3.4375,0.48762437656093754
exp-qlearning-2,6,-501.17529349095474,16.30275937137976,15.43627430146953,19.900358430738738,3.5416666666666665,0.48518625467813287
exp-qlearning-2,7,-298.26927460725113,16.126368336191312,18.380596247262847,21.6044084585528,3.1666666666666665,0.4827603234047422
exp-qlearning-2,8,-511.9802798269704,20.174035019598616,18.293785337668425,16.456607942109667,3.6666666666666665,0.4803465217877185
exp-qlearning-2,9,-351.69859651718986,19.560671793770474,14.908063257271104,20.751614599433733,3.1041666666666665,0.47794478917877986
exp-qlearning-2,10,-93.06722640302524,19.186445609269523,21.286056616936296,19.932650583121283,2.6875,0.47555506523288593
exp-qlearning-2,11,-501.8804132194538,17.204357793418065,16.36403536062379,17.665227717730072,3.5625,0.4731772899067215
exp-qlearning-2,12,-348.40646248081424,21.81960390552888,13.642760585407018,21.957150824334118,3.0208333333333335,0.47081140345718786
exp-qlearning-2,13,-370.39063666055085,17.28940591924119,18.939912720129254,19.00996316062721,3.3958333333333335,0.46845734643990194
exp-qlearning-2,14,-313.5923985065079,16.787666800359208,21.19542841391013,18.883557281852074,2.9166666666666665,0.46611505970770245
exp-qlearning-2,15,-398.1513370939308,17.016602721266985,17.600981845569756,19.969259960394915,3.125,0.4637844844091639
exp-qlearning-2,16,-476.2882885691406,14.104254515214985,16.716532348383087,20.51668381676954,3.7083333333333335,0.4614655619871181
exp-qlearning-2,17,-513.5488315338738,17.597562807295063,18.75603692150694,17.012340213928915,3.75,0.4591582341771825
exp-qlearning-2,18,-314.69003524531166,19.165635422151148,17.146896439181262,20.31844936394783,3.0208333333333335,0.4568624430062966
