run_id,episode,total_reward,avg_temp_zone0,avg_temp_zone1,avg_temp_zone2,avg_energy,epsilon
exp-qlearning-1,84,-84.77,20.61,22.37,26.32,1.375,0.129
exp-qlearning-1,85,-8.65,24.01,24.17,27.63,0.979,0.1277
exp-qlearning-1,86,-40.21,23.94,24.57,25.98,1.104,0.1264
exp-qlearning-1,87,69.69,25.39,22.69,25.91,1.146,0.1251
exp-qlearning-1,88,0.37,23.61,23.27,26.81,1.104,0.1239
exp-qlearning-1,89,-94.25,23.23,24.22,26.96,1.042,0.1226
exp-qlearning-1,90,-28.08,24.45,22.85,26.56,1.083,0.1214
exp-qlearning-1,91,153.52,24.52,23.61,25.22,1.25,0.1202
exp-qlearning-1,92,-69.19,23.31,22.54,27.63,1.104,0.119
exp-qlearning-1,93,-35.6,23.01,23.71,27.84,0.979,0.1178
exp-qlearning-1,94,-86.44,22.44,23.9,27.63,0.979,0.1166
exp-qlearning-1,95,38.33,23.24,23.87,26.31,1.146,0.1155
exp-qlearning-1,96,-45.85,22.62,24.14,26.68,1.104,0.1143
exp-qlearning-1,97,-6.66,23.48,22.08,24.03,1.521,0.1132
exp-qlearning-1,98,-235.82,21.36,26.1,27.0,1.208,0.112
exp-qlearning-1,99,67.17,25.09,22.86,25.94,1.125,0.1109
exp-qlearning-1,100,-7.39,22.13,23.71,27.31,1.229,0.1098
