run_id,episode,total_reward,avg_temp_zone0,avg_temp_zone1,avg_temp_zone2,avg_energy,epsilon
exp-qlearning-2,84,-23.04,21.36,22.61,24.96,1.542,0.3282
exp-qlearning-2,85,-17.97,21.82,20.32,23.61,2.0,0.3265
exp-qlearning-2,86,14.01,22.87,24.91,25.45,1.188,0.3249
exp-qlearning-2,87,15.15,19.62,20.87,23.74,2.167,0.3233
exp-qlearning-2,88,10.79,21.76,24.79,24.72,1.417,0.3217
exp-qlearning-2,89,-85.47,20.31,20.8,23.33,2.229,0.3201
exp-qlearning-2,90,25.29,20.38,20.83,24.54,1.854,0.3185
exp-qlearning-2,91,-53.51,19.57,21.61,24.0,1.792,0.3169
exp-qlearning-2,92,56.19,21.79,23.41,24.77,1.583,0.3153
exp-qlearning-2,93,39.47,20.78,20.19,23.28,2.042,0.3137
exp-qlearning-2,94,-33.38,24.45,21.2,26.24,1.229,0.3121
exp-qlearning-2,95,18.42,23.88,21.77,25.34,1.5,0.3106
exp-qlearning-2,96,-32.78,21.85,20.82,22.86,2.208,0.309
exp-qlearning-2,97,70.26,22.36,24.0,23.07,1.604,0.3075
exp-qlearning-2,98,-24.26,25.03,22.46,24.5,1.375,0.3059
exp-qlearning-2,99,-31.32,23.12,22.49,27.03,1.417,0.3044
exp-qlearning-2,100,35.94,23.5,24.06,25.53,1.208,0.3029
